page_spanning_verse,page link
וַֽיִּשְׁכְּח֖וּ 'אאא' אֶת־יְהוָ֣ה אֱלֹהֵיהֶ֑ם וַיִּמְכֹּ֣ר אֹתָ֡ם בְּיַ֣ד סִֽיסְרָא֩ שַׂר־צְבָ֨א חָצ֜וֹר וּבְיַד־פְּלִשְׁתִּ֗ים וּבְיַד֙ מֶ֣לֶךְ מוֹאָ֔ב וַיִּֽלָּחֲמ֖וּ בָּֽם׃,156A
וּפְלִשְׁתִּ֞ים נֶאֶסְפ֣וּ ׀ לְהִלָּחֵ֣ם עִם־יִשְׂרָאֵ֗ל שְׁלֹשִׁ֨ים אֶ֤לֶף רֶ֙כֶב֙ וְשֵׁ֤שֶׁת אֲלָפִים֙ פָּרָשִׁ֔ים וְעָ֕ם כַּח֛וֹל אֲשֶׁ֥ר עַל־ 'אאא' שְׂפַֽת־הַיָּ֖ם לָרֹ֑ב וַֽיַּעֲלוּ֙ וַיַּחֲנ֣וּ בְמִכְמָ֔שׂ קִדְמַ֖ת בֵּ֥ית אָֽוֶן׃,156B
הַשֵּׁ֧ן הָאֶחָ֛ד מָצ֥וּק מִצָּפ֖וֹן 'אאא' מ֣וּל מִכְמָ֑שׂ וְהָאֶחָ֥ד מִנֶּ֖גֶב מ֥וּל גָּֽבַע׃,157A
וַיַּעַן֩ אִ֨ישׁ מֵֽהָעָ֜ם וַיֹּ֗אמֶר הַשְׁבֵּעַ֩ הִשְׁבִּ֨יעַ 'אאא' אָבִ֤יךָ אֶת־הָעָם֙ לֵאמֹ֔ר אָר֥וּר הָאִ֛ישׁ אֲשֶׁר־יֹ֥אכַל לֶ֖חֶם הַיּ֑וֹם וַיָּ֖עַף הָעָֽם׃,157B
וְקִ֧ישׁ אֲבִֽי־שָׁא֛וּל 'אאא' וְנֵ֥ר אֲבִֽי־אַבְנֵ֖ר בֶּן־אֲבִיאֵֽל׃,158A
כִּ֤י חַטַּאת־קֶ֙סֶם֙ מֶ֔רִי וְאָ֥וֶן וּתְרָפִ֖ים 'אאא' הַפְצַ֑ר יַ֗עַן מָאַ֙סְתָּ֙ אֶת־דְּבַ֣ר יְהוָ֔ה וַיִּמְאָסְךָ֖ מִמֶּֽלֶךְ׃,158B
וַיֹּ֨אמֶר שְׁמוּאֵ֣ל אֶל־יִשַׁי֮ הֲתַ֣מּוּ 'אאא' הַנְּעָרִים֒ וַיֹּ֗אמֶר ע֚וֹד שָׁאַ֣ר הַקָּטָ֔ן וְהִנֵּ֥ה רֹעֶ֖ה בַּצֹּ֑אן וַיֹּ֨אמֶר שְׁמוּאֵ֤ל אֶל־יִשַׁי֙ שִׁלְחָ֣ה וְקָחֶ֔נּוּ כִּ֥י לֹא־נָסֹ֖ב עַד־בֹּא֥וֹ פֹֽה׃,159A
וַיִּשְׁמַ֤ע שָׁאוּל֙ וְכָל־יִשְׂרָאֵ֔ל אֶת־דִּבְרֵ֥י הַפְּלִשְׁתִּ֖י הָאֵ֑לֶּה 'אאא' וַיֵּחַ֥תּוּ וַיִּֽרְא֖וּ מְאֹֽד׃,159B
וַיֹּ֤אמֶר דָּוִד֙ אֶל־שָׁא֔וּל רֹעֶ֨ה הָיָ֧ה עַבְדְּךָ֛ לְאָבִ֖יו בַּצֹּ֑אן וּבָ֤א הָֽאֲרִי֙ וְאֶת־הַדּ֔וֹב 'אאא' וְנָשָׂ֥א שֶׂ֖ה מֵהָעֵֽדֶר׃,160A
,160B
וַֽיְדַבְּר֞וּ עַבְדֵ֤י שָׁאוּל֙ בְּאָזְנֵ֣י דָוִ֔ד אֶת־הַדְּבָרִ֖ים 'אאא' הָאֵ֑לֶּה וַיֹּ֣אמֶר דָּוִ֗ד הַֽנְקַלָּ֤ה בְעֵֽינֵיכֶם֙ הִתְחַתֵּ֣ן בַּמֶּ֔לֶךְ וְאָנֹכִ֖י אִֽישׁ־רָ֥שׁ וְנִקְלֶֽה׃,161A
וַיִּשְׁלַ֥ח שָׁא֛וּל מַלְאָכִ֖ים לָקַ֣חַת אֶת־דָּוִ֑ד 'אאא' וַתֹּ֖אמֶר חֹלֶ֥ה הֽוּא׃,161B
וַיֹּ֨אמֶר יְהוֹנָתָ֜ן אֶל־ 'אאא' דָּוִ֗ד יְהוָ֞ה אֱלֹהֵ֤י יִשְׂרָאֵל֙ כִּֽי־אֶחְקֹ֣ר אֶת־אָבִ֗י כָּעֵ֤ת ׀ מָחָר֙ הַשְּׁלִשִׁ֔ית וְהִנֵּה־ט֖וֹב אֶל־דָּוִ֑ד וְלֹֽא־אָז֙ אֶשְׁלַ֣ח אֵלֶ֔יךָ וְגָלִ֖יתִי אֶת־אָזְנֶֽךָ׃,162A
וַיְהִ֣י בַבֹּ֔קֶר וַיֵּצֵ֧א יְהוֹנָתָ֛ן הַשָּׂדֶ֖ה לְמוֹעֵ֣ד 'אאא' דָּוִ֑ד וְנַ֥עַר קָטֹ֖ן עִמּֽוֹ׃,162B
וַיְשַׁנּ֤וֹ אֶת־טַעְמוֹ֙ בְּעֵ֣ינֵיהֶ֔ם וַיִּתְהֹלֵ֖ל בְּיָדָ֑ם וַיְתָיו֙ עַל־דַּלְת֣וֹת 'אאא' הַשַּׁ֔עַר וַיּֽוֹרֶד רִיר֖וֹ אֶל־זְקָנֽוֹ׃,163A
וְאֵ֨ת נֹ֤ב עִיר־הַכֹּֽהֲנִים֙ 'אאא' הִכָּ֣ה לְפִי־חֶ֔רֶב מֵאִישׁ֙ וְעַד־אִשָּׁ֔ה מֵעוֹלֵ֖ל וְעַד־יוֹנֵ֑ק וְשׁ֧וֹר וַחֲמ֛וֹר וָשֶׂ֖ה לְפִי־חָֽרֶב׃,163B
וַיִּכְרְת֧וּ שְׁנֵיהֶ֛ם בְּרִ֖ית לִפְנֵ֣י יְהוָ֑ה וַיֵּ֤שֶׁב דָּוִד֙ בַּחֹ֔רְשָׁה 'אאא' וִיהוֹנָתָ֖ן הָלַ֥ךְ לְבֵיתֽוֹ׃,164A
הִנֵּה֩ הַיּ֨וֹם הַזֶּ֜ה רָא֣וּ עֵינֶ֗יךָ אֵ֣ת אֲשֶׁר נְתָנְךָ֩ יְהוָ֨ה ׀ הַיּ֤וֹם ׀ בְּיָדִי֙ בַּמְּעָרָ֔ה וְאָמַ֥ר לַהֲרָגֲךָ֖ וַתָּ֣חָס עָלֶ֑יךָ וָאֹמַ֗ר לֹא־אֶשְׁלַ֤ח יָדִי֙ בַּֽאדֹנִ֔י כִּי־ 'אאא' מְשִׁ֥יחַ יְהוָ֖ה הֽוּא׃,164B
וְלָקַחְתִּ֤י אֶת־לַחְמִי֙ וְאֶת־מֵימַ֔י וְאֵת֙ טִבְחָתִ֔י אֲשֶׁ֥ר טָבַ֖חְתִּי לְגֹֽזְזָ֑י וְנָֽתַתִּי֙ לַֽאֲנָשִׁ֔ים אֲשֶׁר֙ 'אאא' לֹ֣א יָדַ֔עְתִּי אֵ֥י מִזֶּ֖ה הֵֽמָּה׃,165A
וַיֹּ֥אמֶר דָּוִ֖ד לַאֲבִיגַ֑ל בָּר֤וּךְ יְהוָה֙ 'אאא' אֱלֹהֵ֣י יִשְׂרָאֵ֔ל אֲשֶׁ֧ר שְׁלָחֵ֛ךְ הַיּ֥וֹם הַזֶּ֖ה לִקְרָאתִֽי׃,165B
וַיֹּ֧אמֶר דָּוִ֛ד 'אאא' אֶל־אֲבִישַׁ֖י אַל־תַּשְׁחִיתֵ֑הוּ כִּ֠י מִ֣י שָׁלַ֥ח יָד֛וֹ בִּמְשִׁ֥יחַ יְהוָ֖ה וְנִקָּֽה׃,166A
וַיֻּגַּ֣ד לְשָׁא֔וּל 'אאא' כִּֽי־בָרַ֥ח דָּוִ֖ד גַּ֑ת וְלֹֽא־יָסַ֥ף ע֖וֹד לְבַקְשֽׁוֹ׃,166B
וַיֹּ֨אמֶר לָ֥הּ הַמֶּ֛לֶךְ אַל־תִּֽירְאִ֖י כִּ֣י מָ֣ה רָאִ֑ית וַתֹּ֤אמֶר הָֽאִשָּׁה֙ אֶל־שָׁא֔וּל אֱלֹהִ֥ים רָאִ֖יתִי 'אאא' עֹלִ֥ים מִן־הָאָֽרֶץ׃,167A
וַיִּקְרָ֨א אָכִ֜ישׁ אֶל־דָּוִ֗ד וַיֹּ֣אמֶר אֵ֠לָיו חַי־יְהוָ֞ה כִּי־יָשָׁ֣ר אַתָּ֗ה וְט֣וֹב בְּ֠עֵינַי צֵאתְךָ֨ וּבֹאֲךָ֤ אִתִּי֙ בַּֽמַּחֲנֶ֔ה כִּ֠י לֹֽא־מָצָ֤אתִֽי בְךָ֙ רָעָ֔ה מִיּ֛וֹם בֹּאֲךָ֥ אֵלַ֖י עַד־הַיּ֣וֹם 'אאא' הַזֶּ֑ה וּבְעֵינֵ֥י הַסְּרָנִ֖ים לֹֽא־ט֥וֹב אָֽתָּה׃,167B
וַיַּכֵּ֥ם דָּוִ֛ד מֵהַנֶּ֥שֶׁף וְעַד־הָעֶ֖רֶב לְמָֽחֳרָתָ֑ם וְלֹֽא־נִמְלַ֤ט 'אאא' מֵהֶם֙ אִ֔ישׁ כִּי֩ אִם־אַרְבַּ֨ע מֵא֧וֹת אִֽישׁ־נַ֛עַר אֲשֶׁר־רָכְב֥וּ עַל־הַגְּמַלִּ֖ים וַיָּנֻֽסוּ׃,168A
וַיִּרְא֣וּ אַנְשֵֽׁי־יִ֠שְׂרָאֵל אֲשֶׁר־בְּעֵ֨בֶר הָעֵ֜מֶק וַאֲשֶׁ֣ר ׀ בְּעֵ֣בֶר הַיַּרְדֵּ֗ן כִּֽי־נָ֙סוּ֙ אַנְשֵׁ֣י יִשְׂרָאֵ֔ל וְכִי־מֵ֖תוּ שָׁא֣וּל וּבָנָ֑יו 'אאא' וַיַּעַזְב֤וּ אֶת־הֶֽעָרִים֙ וַיָּנֻ֔סוּ וַיָּבֹ֣אוּ פְלִשְׁתִּ֔ים וַיֵּֽשְׁב֖וּ בָּהֶֽן׃,168B
,168B
אַל־תַּגִּ֣ידוּ בְגַ֔ת אַֽל־תְּבַשְּׂר֖וּ בְּחוּצֹ֣ת אַשְׁקְל֑וֹן פֶּן־תִּשְׂמַ֙חְנָה֙ בְּנ֣וֹת פְּלִשְׁתִּ֔ים 'אאא' פֶּֽן־תַּעֲלֹ֖זְנָה בְּנ֥וֹת הָעֲרֵלִֽים׃,169A
וַתְּהִ֧י הַמִּלְחָמָ֛ה קָשָׁ֥ה 'אאא' עַד־מְאֹ֖ד בַּיּ֣וֹם הַה֑וּא וַיִּנָּ֤גֶף אַבְנֵר֙ וְאַנְשֵׁ֣י יִשְׂרָאֵ֔ל לִפְנֵ֖י עַבְדֵ֥י דָוִֽד׃,169B
וּלְשָׁא֣וּל פִּלֶ֔גֶשׁ וּשְׁמָ֖הּ רִצְפָּ֣ה בַת־אַיָּ֑ה וַיֹּ֙אמֶר֙ אֶל־אַבְנֵ֔ר מַדּ֥וּעַ בָּ֖אתָה אֶל־פִּילֶ֥גֶשׁ 'אאא' אָבִֽי׃,170A
וַיִּשְׁמַ֤ע דָּוִד֙ 'אאא' מֵאַ֣חֲרֵי כֵ֔ן וַיֹּ֗אמֶר נָקִ֨י אָנֹכִ֧י וּמַמְלַכְתִּ֛י מֵעִ֥ם יְהוָ֖ה עַד־עוֹלָ֑ם מִדְּמֵ֖י אַבְנֵ֥ר בֶּן־נֵֽר׃,170B
וַיַּ֨עַן דָּוִ֜ד אֶת־רֵכָ֣ב ׀ וְאֶת־בַּעֲנָ֣ה אָחִ֗יו בְּנֵ֛י רִמּ֥וֹן הַבְּאֵֽרֹתִ֖י וַיֹּ֣אמֶר לָהֶ֑ם חַי־יְהוָ֕ה אֲשֶׁר־פָּדָ֥ה אֶת־נַפְשִׁ֖י מִכָּל־ 'אאא' צָרָֽה׃,171A
וַיַּעַזְבוּ־שָׁ֖ם אֶת־ 'אאא' עֲצַבֵּיהֶ֑ם וַיִּשָּׂאֵ֥ם דָּוִ֖ד וַאֲנָשָֽׁיו׃,171B
וַיְחַלֵּ֨ק לְכָל־הָעָ֜ם לְכָל־הֲמ֣וֹן יִשְׂרָאֵל֮ לְמֵאִ֣ישׁ וְעַד־אִשָּׁה֒ לְאִ֗ישׁ חַלַּ֥ת 'אאא' לֶ֙חֶם֙ אַחַ֔ת וְאֶשְׁפָּ֣ר אֶחָ֔ד וַאֲשִׁישָׁ֖ה אֶחָ֑ת וַיֵּ֥לֶךְ כָּל־הָעָ֖ם אִ֥ישׁ לְבֵיתֽוֹ׃,172A
וּמַה־יּוֹסִ֥יף דָּוִ֛ד ע֖וֹד לְדַבֵּ֣ר אֵלֶ֑יךָ וְאַתָּ֛ה יָדַ֥עְתָּ 'אאא' אֶֽת־עַבְדְּךָ֖ אֲדֹנָ֥י יְהוִֽה׃,172B
וַיָּ֨שֶׂם בֶּאֱד֜וֹם נְצִבִ֗ים בְּכָל־אֱדוֹם֙ שָׂ֣ם נְצִבִ֔ים וַיְהִ֥י כָל־ 'אאא' אֱד֖וֹם עֲבָדִ֣ים לְדָוִ֑ד וַיּ֤וֹשַׁע יְהוָה֙ אֶת־דָּוִ֔ד בְּכֹ֖ל אֲשֶׁ֥ר הָלָֽךְ׃,173A
וַיִּרְאוּ֙ בְּנֵ֣י עַמּ֔וֹן כִּ֥י נִבְאֲשׁ֖וּ 'אאא' בְּדָוִ֑ד וַיִּשְׁלְח֣וּ בְנֵֽי־עַמּ֡וֹן וַיִּשְׂכְּרוּ֩ אֶת־אֲרַ֨ם בֵּית־רְח֜וֹב וְאֶת־אֲרַ֣ם צוֹבָ֗א עֶשְׂרִ֥ים אֶ֙לֶף֙ רַגְלִ֔י וְאֶת־מֶ֤לֶךְ מַֽעֲכָה֙ אֶ֣לֶף אִ֔ישׁ וְאִ֣ישׁ ט֔וֹב שְׁנֵים־עָשָׂ֥ר אֶ֖לֶף אִֽישׁ׃,173B
וַיַּגִּ֤דוּ לְדָוִד֙ לֵאמֹ֔ר לֹֽא־ 'אאא' יָרַ֥ד אוּרִיָּ֖ה אֶל־בֵּית֑וֹ וַיֹּ֨אמֶר דָּוִ֜ד אֶל־אוּרִיָּ֗ה הֲל֤וֹא מִדֶּ֙רֶךְ֙ אַתָּ֣ה בָ֔א מַדּ֖וּעַ לֹֽא־יָרַ֥דְתָּ אֶל־בֵּיתֶֽךָ׃,174A
,174B
וַיִּשְׁלַ֥ח יוֹאָ֛ב מַלְאָכִ֖ים אֶל־ 'אאא' דָּוִ֑ד וַיֹּ֙אמֶר֙ נִלְחַ֣מְתִּי בְרַבָּ֔ה גַּם־לָכַ֖דְתִּי אֶת־עִ֥יר הַמָּֽיִם׃,175A
וְעָלֶ֙יהָ֙ כְּתֹ֣נֶת 'אאא' פַּסִּ֔ים כִּי֩ כֵ֨ן תִּלְבַּ֧שְׁןָ בְנוֹת־הַמֶּ֛לֶךְ הַבְּתוּלֹ֖ת מְעִילִ֑ים וַיֹּצֵ֨א אוֹתָ֤הּ מְשָֽׁרְתוֹ֙ הַח֔וּץ וְנָעַ֥ל הַדֶּ֖לֶת אַחֲרֶֽיהָ׃,175B
,176A
,176B
וַיְהִ֕י מִקֵּ֖ץ אַרְבָּעִ֣ים שָׁנָ֑ה וַיֹּ֤אמֶר אַבְשָׁלוֹם֙ אֶל־הַמֶּ֔לֶךְ אֵ֣לֲכָה נָּ֗א וַאֲשַׁלֵּ֛ם אֶת־נִדְרִ֛י 'אאא' אֲשֶׁר־נָדַ֥רְתִּי לַֽיהוָ֖ה בְּחֶבְרֽוֹן׃,177A
וְדָוִ֡ד עֹלֶה֩ בְמַעֲלֵ֨ה הַזֵּיתִ֜ים עֹלֶ֣ה ׀ וּבוֹכֶ֗ה וְרֹ֥אשׁ לוֹ֙ חָפ֔וּי 'אאא' וְה֖וּא הֹלֵ֣ךְ יָחֵ֑ף וְכָל־הָעָ֣ם אֲשֶׁר־אִתּ֗וֹ חָפוּ֙ אִ֣ישׁ רֹאשׁ֔וֹ וְעָל֥וּ עָלֹ֖ה וּבָכֹֽה׃,177B
וַיָּבֹ֥א הַמֶּ֛לֶךְ וְכָל־הָעָ֥ם אֲשֶׁר־ 'אאא' אִתּ֖וֹ עֲיֵפִ֑ים וַיִּנָּפֵ֖שׁ שָֽׁם׃,178A
,178B
וַיֹּ֨אמֶר הָעָ֜ם לֹ֣א תֵצֵ֗א כִּי֩ אִם־נֹ֨ס נָנ֜וּס לֹא־יָשִׂ֧ימוּ אֵלֵ֣ינוּ לֵ֗ב וְאִם־יָמֻ֤תוּ חֶצְיֵ֙נוּ֙ לֹֽא־יָשִׂ֤ימוּ אֵלֵ֙ינוּ֙ לֵ֔ב כִּֽי־עַתָּ֥ה כָמֹ֖נוּ עֲשָׂרָ֣ה אֲלָפִ֑ים 'אאא' וְעַתָּ֣ה ט֔וֹב כִּי־תִֽהְיֶה־לָּ֥נוּ מֵעִ֖יר לַעְזֽוֹר׃,179A
,179B
וְהַמֶּ֣לֶךְ דָּוִ֗ד שָׁ֠לַח אֶל־צָד֨וֹק וְאֶל־אֶבְיָתָ֥ר הַכֹּהֲנִים֮ לֵאמֹר֒ דַּבְּר֞וּ אֶל־זִקְנֵ֤י יְהוּדָה֙ לֵאמֹ֔ר לָ֤מָּה תִֽהְיוּ֙ אַֽחֲרֹנִ֔ים לְהָשִׁ֥יב אֶת־הַמֶּ֖לֶךְ אֶל־בֵּית֑וֹ 'אאא' וּדְבַר֙ כָּל־יִשְׂרָאֵ֔ל בָּ֥א אֶל־הַמֶּ֖לֶךְ אֶל־בֵּיתֽוֹ׃,180A
וַיֹּ֥אמֶר בַּרְזִלַּ֖י אֶל־הַמֶּ֑לֶךְ כַּמָּ֗ה יְמֵי֙ שְׁנֵ֣י חַיַּ֔י כִּי־אֶעֱלֶ֥ה אֶת־הַמֶּ֖לֶךְ 'אאא' יְרוּשָׁלָֽ͏ִם׃,180B
,181A
וַיֹּ֧אמְרוּ ל֣וֹ הַגִּבְעֹנִ֗ים אֵֽין־לָ֜נוּ כֶּ֤סֶף וְזָהָב֙ עִם־ 'אאא' שָׁא֣וּל וְעִם־בֵּית֔וֹ וְאֵֽין־לָ֥נוּ אִ֖ישׁ לְהָמִ֣ית בְּיִשְׂרָאֵ֑ל וַיֹּ֛אמֶר מָֽה־אַתֶּ֥ם אֹמְרִ֖ים אֶעֱשֶׂ֥ה לָכֶֽם׃,181B
,182A
,182B
אָמַר֙ אֱלֹהֵ֣י יִשְׂרָאֵ֔ל לִ֥י דִבֶּ֖ר צ֣וּר יִשְׂרָאֵ֑ל מוֹשֵׁל֙ 'אאא' בָּאָדָ֔ם צַדִּ֕יק מוֹשֵׁ֖ל יִרְאַ֥ת אֱלֹהִֽים׃,183A
חֵ֥לֶב בֶּֽן־בַּעֲנָ֖ה הַנְּטֹפָתִ֑י 'אאא' אִתַּי֙ בֶּן־רִיבַ֔י מִגִּבְעַ֖ת בְּנֵ֥י בִנְיָמִֽן׃,183B
וַיִּשְׁלַח֩ יָד֨וֹ הַמַּלְאָ֥ךְ ׀ יְרֽוּשָׁלַם֮ לְשַׁחֲתָהּ֒ 'אאא' וַיִּנָּ֤חֶם יְהוָה֙ אֶל־הָ֣רָעָ֔ה וַ֠יֹּאמֶר לַמַּלְאָ֞ךְ הַמַּשְׁחִ֤ית בָּעָם֙ רַ֔ב עַתָּ֖ה הֶ֣רֶף יָדֶ֑ךָ וּמַלְאַ֤ךְ יְהוָה֙ הָיָ֔ה עִם־גֹּ֖רֶן הָאֲרַ֥וְנָה הַיְבֻסִֽי׃,184A
,184A
וְעַתָּ֕ה לְכִ֛י אִיעָצֵ֥ךְ נָ֖א עֵצָ֑ה וּמַלְּטִי֙ אֶת־נַפְשֵׁ֔ךְ וְאֶת־נֶ֥פֶשׁ 'אאא' בְּנֵ֖ךְ שְׁלֹמֹֽה׃,184B
כַּאֲשֶׁ֨ר הָיָ֤ה יְהוָה֙ עִם־אֲדֹנִ֣י הַמֶּ֔לֶךְ כֵּ֖ן 'אאא' יִֽהְיֶ֣ה עִם־שְׁלֹמֹ֑ה וִֽיגַדֵּל֙ אֶת־כִּסְא֔וֹ מִ֨כִּסֵּ֔א אֲדֹנִ֖י הַמֶּ֥לֶךְ דָּוִֽד׃,185A
וְגַ֣ם אַתָּ֣ה יָדַ֡עְתָּ אֵת֩ אֲשֶׁר־עָ֨שָׂה לִ֜י יוֹאָ֣ב בֶּן־צְרוּיָ֗ה אֲשֶׁ֣ר עָשָׂ֣ה לִשְׁנֵֽי־שָׂרֵ֣י צִבְא֣וֹת יִ֠שְׂרָאֵל לְאַבְנֵ֨ר בֶּן־נֵ֜ר וְלַעֲמָשָׂ֤א בֶן־יֶ֙תֶר֙ וַיַּ֣הַרְגֵ֔ם וַיָּ֥שֶׂם דְּמֵֽי־מִלְחָמָ֖ה בְּשָׁלֹ֑ם וַיִּתֵּ֞ן דְּמֵ֣י מִלְחָמָ֗ה בַּחֲגֹֽרָתוֹ֙ אֲשֶׁ֣ר בְּמָתְנָ֔יו 'אאא' וּֽבְנַעֲל֖וֹ אֲשֶׁ֥ר בְּרַגְלָֽיו׃,185B
,186A
רַ֣ק הָעָ֔ם 'אאא' מְזַבְּחִ֖ים בַּבָּמ֑וֹת כִּ֠י לֹא־נִבְנָ֥ה בַ֙יִת֙ לְשֵׁ֣ם יְהוָ֔ה עַ֖ד הַיָּמִ֥ים הָהֵֽם׃,186B
,187A
כִּי־ה֞וּא רֹדֶ֣ה ׀ בְּכָל־עֵ֣בֶר הַנָּהָ֗ר מִתִּפְסַח֙ 'אאא' וְעַד־עַזָּ֔ה בְּכָל־מַלְכֵ֖י עֵ֣בֶר הַנָּהָ֑ר וְשָׁל֗וֹם הָ֥יָה ל֛וֹ מִכָּל־עֲבָרָ֖יו מִסָּבִֽיב׃,187B
וּשְׁלֹמֹה֩ נָתַ֨ן לְחִירָ֜ם עֶשְׂרִים֩ אֶ֨לֶף כֹּ֤ר חִטִּים֙ מַכֹּ֣לֶת לְבֵית֔וֹ 'אאא' וְעֶשְׂרִ֥ים כֹּ֖ר שֶׁ֣מֶן כָּתִ֑ית כֹּֽה־יִתֵּ֧ן שְׁלֹמֹ֛ה לְחִירָ֖ם שָׁנָ֥ה בְשָׁנָֽה׃,188A
וַיִּבֶן֩ אֶת־עֶשְׂרִ֨ים אַמָּ֜ה מִֽיַּרְכְּתֵ֤י הַבַּ֙יִת֙ בְּצַלְע֣וֹת אֲרָזִ֔ים מִן־הַקַּרְקַ֖ע 'אאא' עַד־הַקִּיר֑וֹת וַיִּ֤בֶן לוֹ֙ מִבַּ֣יִת לִדְבִ֔יר לְקֹ֖דֶשׁ הַקֳּדָשִֽׁים׃,188B
וְאֵ֨ת אוּלָ֤ם הָֽעַמּוּדִים֙ עָשָׂ֔ה חֲמִשִּׁ֤ים אַמָּה֙ אָרְכּ֔וֹ וּשְׁלֹשִׁ֥ים אַמָּ֖ה 'אאא' רָחְבּ֑וֹ וְאוּלָם֙ עַל־פְּנֵיהֶ֔ם וְעַמֻּדִ֥ים וְעָ֖ב עַל־פְּנֵיהֶֽם׃,189A
וַיַּ֧עַשׂ אֶת־הַמְּכֹנ֛וֹת עֶ֖שֶׂר נְחֹ֑שֶׁת אַרְבַּ֣ע בָּאַמָּ֗ה אֹ֚רֶךְ הַמְּכוֹנָ֣ה 'אאא' הָֽאֶחָ֔ת וְאַרְבַּ֤ע בָּֽאַמָּה֙ רָחְבָּ֔הּ וְשָׁלֹ֥שׁ בָּאַמָּ֖ה קוֹמָתָֽהּ׃,189B
וְאֶת־הַ֠מְּנֹרוֹת חָמֵ֨שׁ מִיָּמִ֜ין וְחָמֵ֧שׁ מִשְּׂמֹ֛אול לִפְנֵ֥י הַדְּבִ֖יר 'אאא' זָהָ֣ב סָג֑וּר וְהַפֶּ֧רַח וְהַנֵּרֹ֛ת וְהַמֶּלְקַחַ֖יִם זָהָֽב׃,190A
וָאָשִׂ֨ם שָׁ֤ם מָקוֹם֙ לָֽאָר֔וֹן 'אאא' אֲשֶׁר־שָׁ֖ם בְּרִ֣ית יְהוָ֑ה אֲשֶׁ֤ר כָּרַת֙ עִם־אֲבֹתֵ֔ינוּ בְּהוֹצִיא֥וֹ אֹתָ֖ם מֵאֶ֥רֶץ מִצְרָֽיִם׃,190B
לְמַ֙עַן֙ יִֽרָא֔וּךָ 'אאא' כָּל־הַ֨יָּמִ֔ים אֲשֶׁר־הֵ֥ם חַיִּ֖ים עַל־פְּנֵ֣י הָאֲדָמָ֑ה אֲשֶׁ֥ר נָתַ֖תָּה לַאֲבֹתֵֽינוּ׃,191A
וְֽהַמֶּ֔לֶךְ וְכָל־ 'אאא' יִשְׂרָאֵ֖ל עִמּ֑וֹ זֹבְחִ֥ים זֶ֖בַח לִפְנֵ֥י יְהוָֽה׃,191B
וַיִּשְׁלַ֥ח חִירָ֖ם לַמֶּ֑לֶךְ מֵאָ֥ה 'אאא' וְעֶשְׂרִ֖ים כִּכַּ֥ר זָהָֽב׃,192A
וַתִּתֵּ֨ן לַמֶּ֜לֶךְ 'אאא' מֵאָ֥ה וְעֶשְׂרִ֣ים ׀ כִּכַּ֣ר זָהָ֗ב וּבְשָׂמִ֛ים הַרְבֵּ֥ה מְאֹ֖ד וְאֶ֣בֶן יְקָרָ֑ה לֹא־בָא֩ כַבֹּ֨שֶׂם הַה֥וּא עוֹד֙ לָרֹ֔ב אֲשֶׁר־נָתְנָ֥ה מַֽלְכַּת־שְׁבָ֖א לַמֶּ֥לֶךְ שְׁלֹמֹֽה׃,192B
וַיְהִי־ל֣וֹ 'אאא' נָשִׁ֗ים שָׂרוֹת֙ שְׁבַ֣ע מֵא֔וֹת וּפִֽלַגְשִׁ֖ים שְׁלֹ֣שׁ מֵא֑וֹת וַיַּטּ֥וּ נָשָׁ֖יו אֶת־לִבּֽוֹ׃,193A
וְיָרָבְעָם֩ בֶּן־נְבָ֨ט אֶפְרָתִ֜י מִן־הַצְּרֵדָ֗ה וְשֵׁ֤ם אִמּוֹ֙ צְרוּעָה֙ 'אאא' אִשָּׁ֣ה אַלְמָנָ֔ה עֶ֖בֶד לִשְׁלֹמֹ֑ה וַיָּ֥רֶם יָ֖ד בַּמֶּֽלֶךְ׃,193B
וַיִּוָּעַ֞ץ הַמֶּ֣לֶךְ רְחַבְעָ֗ם אֶת־הַזְּקֵנִים֙ אֲשֶׁר־הָי֣וּ עֹמְדִ֗ים אֶת־פְּנֵי֙ שְׁלֹמֹ֣ה אָבִ֔יו 'אאא' בִּֽהְיֹת֥וֹ חַ֖י לֵאמֹ֑ר אֵ֚יךְ אַתֶּ֣ם נֽוֹעָצִ֔ים לְהָשִׁ֥יב אֶת־הָֽעָם־הַזֶּ֖ה דָּבָֽר׃,194A
,194B
וַיְדַבֵּ֤ר אֲלֵהֶם֙ אֲבִיהֶ֔ם אֵֽי־זֶ֥ה הַדֶּ֖רֶךְ הָלָ֑ךְ וַיִּרְא֣וּ בָנָ֗יו אֶת־הַדֶּ֙רֶךְ֙ אֲשֶׁ֤ר הָלַךְ֙ אִ֣ישׁ הָאֱלֹהִ֔ים 'אאא' אֲשֶׁר־בָּ֖א מִיהוּדָֽה׃,195A
בָּעֵ֣ת הַהִ֔יא חָלָ֖ה אֲבִיָּ֥ה בֶן־ 'אאא' יָרָבְעָֽם׃,195B
